"1","1","01","ADRAR","أدرار","0.5","0",\N,\N
"2","1","02","TAMEST","تأماست","0.5","0",\N,\N
"3","1","03","CHAROUINE","شروين","0.5","0",\N,\N
"4","1","04","REGGANE","رقان","0.5","0",\N,\N
"5","1","05","IN ZGHMIR","ان زغمير","0.5","0",\N,\N
"6","1","06","TIT","تيت","0.5","0",\N,\N
"7","1","07","KSAR KADDOUR","قصر قدور","0.5","0",\N,\N
"8","1","08","TSABIT","تسابيت","0.5","0",\N,\N
"9","1","09","TIMIMOUN","تيميمون","0.5","0",\N,\N
"10","1","10","OULED SAID","أولاد السعيد","0.5","0",\N,\N
"11","1","11","ZAOUIET- KOUNTA","زاوية كنتة","0.5","0",\N,\N
"12","1","12","AOULEF","أولف","0.5","0",\N,\N
"13","1","13","TIMOKTEN","تمقتن","0.5","0",\N,\N
"14","1","14","TAMENTIT","تامنطيت","0.5","0",\N,\N
"15","1","15","FENOUGHIL","فنوغيل","0.5","0",\N,\N
"16","1","16","TINERKOUK","تنيركوك","0.5","0",\N,\N
"17","1","17","DELDOUL","دلدول","0.5","0",\N,\N
"18","1","18","SALI","سالى","0.5","0",\N,\N
"19","1","19","AKABLI","أقبلى","0.5","0",\N,\N
"20","1","20","METARFA","الطارفة","0.5","0",\N,\N
"21","1","21","OULED AHMED TIMMI","أولاد أحمد تيمى","0.5","0",\N,\N
"22","1","22","BOUDA","بودة","0.5","0",\N,\N
"23","1","23","AOUGROUT","أوقرت","0.5","0",\N,\N
"24","1","24","TALMINE","طالمين","0.5","0",\N,\N
"25","1","25","BORDJ BADJI MOKHTAR","برج باجى مختار","0.5","0",\N,\N
"26","1","26","SBAA","السبع","0.5","0",\N,\N
"27","1","27","OULED AISSA","أولاد عيسى","0.5","0",\N,\N
"28","1","28","TIMIAOUINE","تيمياوين","0.5","0",\N,\N
"29","2","01","CHLEF","الشلف","4","0",\N,\N
"30","2","02","TENES","تنس","4","0",\N,\N
"31","2","03","BENAIRIA","بنايرية","4","0",\N,\N
"32","2","04","EL KARIMIA","الكريمية","3","0",\N,\N
"33","2","05","TADJNA","تأجنة","4","0",\N,\N
"34","2","06","TAOUGRIT","تاوقريت","4","0",\N,\N
"35","2","07","BENI HAOUA","بنى حواء","4","0",\N,\N
"36","2","08","SOBHA","صبحة","4","0",\N,\N
"37","2","09","HARCHOUN","حرشون","3","0",\N,\N
"38","2","10","OULED FARES","أولاد فارس","4","0",\N,\N
"39","2","11","SIDI AKKACHA","سيدى عكاشة","4","0",\N,\N
"40","2","12","BOUKADIR","بوقادير","3","0",\N,\N
"41","2","13","BENI RACHED","بنى راشد","4","0",\N,\N
"42","2","14","TALASSA","تلعصة","4","0",\N,\N
"43","2","15","HARENFA","الھرنفة","4","0",\N,\N
"44","2","16","OUED GOUSINE","وادى قوسين","4","0",\N,\N
"45","2","17","DAHRA","الظھرة","4","0",\N,\N
"46","2","18","OULED ABBES","أولاد عباس","4","0",\N,\N
"47","2","19","SENDJAS","السنجاس","3","0",\N,\N
"48","2","20","ZEBOUDJA","الزبوجة","4","0",\N,\N
"49","2","21","OUED SLY","وادى سلى","3","0",\N,\N
"50","2","22","ABOU EL HASSEN","أبو الحسن","4","0",\N,\N
"51","2","23","EL MARSA","المرسى","4","0",\N,\N
"52","2","24","CHETTIA","الشطية","4","0",\N,\N
"53","2","25","SIDI ABDERRAHMANE","سيدي عبد الرحمان","4","0",\N,\N
"54","2","26","MOUSSADEK","مصدق","4","0",\N,\N
"55","2","27","EL HADJADJ","الحجاج","2","0",\N,\N
"56","2","28","LABIOD MEDJADJA","الابيض مجاجة","4","0",\N,\N
"57","2","29","OUED FODDA","وادى الفضة","4","0",\N,\N
"58","2","30","OULED BEN.AEK","أولاد بن عبد القادر","2","0",\N,\N
"59","2","31","BOUZGHAIA","بوزغاية","4","0",\N,\N
"60","2","32","AIN MERANE","عين مران","4","0",\N,\N
"61","2","33","OUM DROU","أم الذروع","4","0",\N,\N
"62","2","34","BREIRA","بريرة","4","0",\N,\N
"63","2","35","BENI BOUATEB","بنى بوعتاب","4","0",\N,\N
"64","3","01","LAGHOUAT","الأغواط","1","0",\N,\N
"65","3","02","KSAR.HIRANE","قصر الحيران","1","0",\N,\N
"66","3","03","MEKHAREG","بن ناصر بن شھرة","1","0",\N,\N
"67","3","04","SIDI MAKHLOUF","سيدي مخلوف","1","0",\N,\N
"68","3","05","HASSI DALAA","حاسى دلاع","1","0",\N,\N
"69","3","06","HASSI R'MEL","حاسى الرمل","1","0",\N,\N
"70","3","07","AIN MAHDI","عين ماضي","1","0",\N,\N
"71","3","08","TADJEMOUNT","تاجموت","1","0",\N,\N
"72","3","09","KHENNEG","الخنق","1","0",\N,\N
"73","3","10","GUELTAT SIDI SAAD","قلتة سيدي سعد","1","0",\N,\N
"74","3","11","AIN SIDI ALI","عين سيدي على","1","0",\N,\N
"75","3","12","BEIDHA","بيضاء","1","0",\N,\N
"76","3","13","BRIDA","بريدة","1","0",\N,\N
"77","3","14","EL GHICHA","الغيشة","1","0",\N,\N
"78","3","15","HADJ MECHERI","حاج مشري","1","0",\N,\N
"79","3","16","SEBGAG","سبقاق","1","0",\N,\N
"80","3","17","TAOUILA","تاويالة","1","0",\N,\N
"81","3","18","TAJROUNA","تاجرونة","1","0",\N,\N
"82","3","19","AFLOU","آفلو","1","0",\N,\N
"83","3","20","EL ASSAFIA","العسفية","1","0",\N,\N
"84","3","21","OUED MORRA","واد مرة","1","0",\N,\N
"85","3","22","OUED M' ZI","واد مزي","1","0",\N,\N
"86","3","23","EL HOUITA","الحوايطة","1","0",\N,\N
"87","3","24","SIDI BOUZID","سيدي بوزيد","1","0",\N,\N
"88","4","01","OUM BOUAGHI","أم البواقي","1","0",\N,\N
"89","4","02","AIN BEIDA","عين البيضاء","1","0",\N,\N
"90","4","03","AIN M'LILA","عين مليلة","1","0",\N,\N
"91","4","04","BEHIR CHERGUI","بحير الشرقي","1","0",\N,\N
"92","4","05","EL AMIRIA","العامرية","1","0",\N,\N
"93","4","06","SIGUS","سيقوس","1","0",\N,\N
"94","4","07","EL BELALA","البلالة","1","0",\N,\N
"95","4","08","AIN BABOUCHE","عين ببوش","1","0",\N,\N
"96","4","09","BERRICHE","بريش","1","0",\N,\N
"97","4","10","OULED HAMLA","أولاد حملة","1","0",\N,\N
"98","4","11","DHALA","الضلعة","1","0",\N,\N
"99","4","12","AIN KERCHA","عين كرشة","1","0",\N,\N
"100","4","13","HANCHIR TOUMGHANI","ھنشير تومغانى","1","0",\N,\N
"101","4","14","EL DJAZIA","الجازية","1","0",\N,\N
"102","4","15","AIN DISS","عين الديس","1","0",\N,\N
"103","4","16","F'KIRINA","فكيرينة","1","0",\N,\N
"104","4","17","SOUK NAAMANE","سوق نعمان","1","0",\N,\N
"105","4","18","ZORG","الزرق","1","0",\N,\N
"106","4","19","EL FEDJOUDJ BOUGHARA SAOUDI","الفجوج بوغرارة سعودى","1","0",\N,\N
"107","4","20","OULED ZOUAI","أولاد الزوى","1","0",\N,\N
"108","4","21","BIR CHOUAHADA","بئر الشھداء","1","0",\N,\N
"109","4","22","KSAR SBAHI","قصر الصباحى","1","0",\N,\N
"110","4","23","OUED NINI","وادى نينى","1","0",\N,\N
"111","4","24","MESKIANA","مسكيانة","1","0",\N,\N
"112","4","25","AIN FAKROUN","عين الفكرون","1","0",\N,\N
"113","4","26","RAHIA","الراحية","1","0",\N,\N
"114","4","27","AIN ZITOUN","عين الزيتون","1","0",\N,\N
"115","4","28","OULED GACEM","أولاد قاسم","1","0",\N,\N
"116","4","29","EL HARMALIA","الحرملية","1","0",\N,\N
"117","5","01","BATNA","باتنة","1","0",\N,\N
"118","5","02","GHASSIRA","غسيرة","1","0",\N,\N
"119","5","03","MAAFA","معافة","1","0",\N,\N
"120","5","04","MEROUANA","مروانة","1","0",\N,\N
"121","5","05","SERIANA","سريانة","1","0",\N,\N
"122","5","06","MENAA","منعة","1","0",\N,\N
"123","5","07","EL MADHER","المعذر","1","0",\N,\N
"124","5","08","TAZOULT","تازولت","1","0",\N,\N
"125","5","09","N'GAOUS","نقاوس","1","0",\N,\N
"126","5","10","GUIGBA","قيقبة","1","0",\N,\N
"127","5","11","INOUGHISENE","اينوغيسن","1","0",\N,\N
"128","5","12","OUYOUN ASSAFIR","عيون العصا فير","1","0",\N,\N
"129","5","13","DJERMA","جرمة","1","0",\N,\N
"130","5","14","BITAM","بيطام","1","0",\N,\N
"131","5","15","METKOUAK","المتكوك","1","0",\N,\N
"132","5","16","ARRIS","أريس","1","0",\N,\N
"133","5","17","KIMMEL","كيمل","1","0",\N,\N
"134","5","18","TILATOU","تيلاطو","1","0",\N,\N
"135","5","19","AIN DJASSER","عين جاسر","1","0",\N,\N
"136","5","20","OULED SELAM","أولاد سلام","1","0",\N,\N
"137","5","21","TIGHERGHAR","تغرغار","1","0",\N,\N
"138","5","22","AIN YAGOUT","عين ياقوت","1","0",\N,\N
"139","5","23","FESDIS","فسديس","1","0",\N,\N
"140","5","24","SEFIANE","سفيان","1","0",\N,\N
"141","5","25","RAHBAT","الرحبات","1","0",\N,\N
"142","5","26","TIGHANIMINE","تغانمين","1","0",\N,\N
"143","5","27","LEMSANE","لمسان","1","0",\N,\N
"144","5","28","KSAR BELEZMA","قصر بلازمة","1","0",\N,\N
"145","5","29","SEGGANA","رقانة","1","0",\N,\N
"146","5","30","ICHMOUL","إيشمول","1","0",\N,\N
"147","5","31","FOUM TOUB","فم الطوب","1","0",\N,\N
"148","5","32","BENI FOUDHALA EL HAKANIA","بنى فضالة الحقانية","1","0",\N,\N
"149","5","33","OUED EL MA","وادى الماء","1","0",\N,\N
"150","5","34","TALAKHAMET","تالخمت","1","0",\N,\N
"151","5","35","BOUZINA","بوزينة","1","0",\N,\N
"152","5","36","CHEMORA","شمرة","1","0",\N,\N
"153","5","37","OUED CHAABA","وادى الشعبة","1","0",\N,\N
"154","5","38","TAXLENT","تاكسلانت","1","0",\N,\N
"155","5","39","GOSBAT","القصبات","1","0",\N,\N
"156","5","40","OULED AOUF","أولاد عوف","1","0",\N,\N
"157","5","41","BOUMAGUER","بومقر","1","0",\N,\N
"158","5","42","BARIKA","بريكة","1","0",\N,\N
"159","5","43","DJEZZAR","الجزار","1","0",\N,\N
"160","5","44","T'KOUT","تكوت","1","0",\N,\N
"161","5","45","AIN TOUTA","عين التوتة","1","0",\N,\N
"162","5","46","HIDOUSSA","حيدوسة","1","0",\N,\N
"163","5","47","TENIET EL ABED","ثنية العابد","1","0",\N,\N
"164","5","48","OUED TAGA","وادى الطا قة","1","0",\N,\N
"165","5","49","OULED FADHEL","أولاد فاضل","1","0",\N,\N
"166","5","50","TIMGAD","تيمقاد","1","0",\N,\N
